,Location,Intercept,Mobility,RMSE_IHME,RMSE_Dense,RMSE_Sparse
0,Malaysia,13.936111642940231,52.14866042169355,5.166223696063,4.997894205112977,5.001523577262273
1,Philippines,13.600569884988007,29.45268150565027,4.201881527344348,4.160698383861949,4.160751116565111
2,Bulgaria,14.239899761784415,123.93760502233312,3.421882100197113,3.1953541398471867,3.1971271487701105
3,Croatia,13.282993526194922,56.838852695359634,3.697823721931175,3.6662678947749208,3.6662423571796645
4,Czechia,13.766870519409894,103.23979975787591,2.8612257489565924,3.070596032455691,3.1221426157518395
5,Hungary,12.50853651785536,28.593227013501696,0.7327822244849774,0.7048022573659224,0.7190283851297203
6,Poland,12.662351925240888,39.467790041822724,0.6415036095904341,0.5774510511294338,0.6230586409585804
7,Romania,13.629882176975679,80.39926227340274,3.587351895807843,3.89017690972468,4.011712635665091
8,Serbia,13.162924096673239,56.92029846898426,3.7901656767533405,3.80205802769465,3.8385293736442168
9,Slovakia,11.26610721125399,-43.53480320308152,5.2661540317827304,4.5001235795137475,5.006138426390182
10,Slovenia,12.742858347764573,42.74574308188978,1.4630543732516808,1.4005063553682278,1.5648213617569136
11,Estonia,14.168825909316443,155.25531052552788,2.2094240643196015,2.5484576498105285,2.7306509490478716
12,Latvia,11.82115091446627,-14.60959588501592,4.939355470681485,4.408271473156785,4.6763117964656855
13,Lithuania,12.95582393917456,66.03599652927467,3.8864323436792976,3.855381625862007,3.8600537734235885
14,Republic of Moldova,15.15248859983114,153.31830643839726,3.048617148649506,2.4428859523070483,2.44146956158748
15,Ukraine,13.53913309653779,103.81883987569421,3.056024687711603,3.2897539557739064,3.301261030479586
16,Japan,12.468479944092401,35.50713179899064,4.2081656990035805,4.2228091208306875,4.222468198868897
17,Republic of Korea,12.621022800325107,99.62406059855729,4.844851832903419,4.666920497060024,4.703475545888257
18,Austria,13.066743889031766,64.96460341425704,3.9730255002415253,3.899360012976412,3.932013801730595
19,Belgium,13.444776455873129,51.768868121655835,3.465064820274581,3.385428656270522,3.3880215073743134
20,Cyprus,12.651007232208727,25.213673695163934,1.8443274601826207,0.6447307627485209,0.6614520759554883
